a,1,05C,0,0,0,0,0
a,1,10,0,0,0,0,0
a,1,10,0,0,0,0,0
a,1,2,1,3,3,2,0
a,1,2,1,3,3,2,0
á,1,00K,0,0,0,0,0
á,1,10,0,0,0,0,0
á,1,2,1,3,3,2,0
abajgat,1,1,16,10,0,1,1
abál,1,1,1,10,0,1,0
abaposztó,2,2,1,3,3,2,0
abárol,1,1,1,10,0,1,1
abba,1,57,0,0,0,0,9
abbahagy,6,1,7,10,0,0,9
abbamarad,6,1,1,10,0,0,9
abban,1,5,0,0,0,0,9
abbeli,1,5,0,0,0,0,1
abból,1,5,0,0,0,0,9
abbreviatúra,9,2,2,3,3,2,8
abcúg,1,0A2,1,2,2,2,0
ábécé,1,2,1,3,3,5,0
ábécérend,2,2,1,4,4,5,0
ábécés,1,32,1,3,4,4,1
ábécéskönyv,2,2,1,4,4,4,2
abesszin,1,23,1,3,42,5,8
ablak,1,2,1,2,2,12,0
ablakbélés,2,2,1,3,4,4,1
ablakdeszka,2,2,2,3,3,2,0
ablakfiók,2,2,1,2,2,2,1
ablakfülke,2,2,2,3,3,5,0
ablakkeret,2,2,1,4,4,45,1
ablakkosár,2,2,3,1,1,1,0
ablakmélyedés,2,2,1,3,4,4,1
ablaknyílás,2,2,1,3,2,1,1
ablakos,1,32,1,3,2,1,1
ablakoz,1,1,18,10,0,1,1
ablakpárkány,2,2,1,3,2,1,0
ablakpárna,2,2,2,3,3,2,0
ablakrács,2,2,1,2,2,1,0
ablakredôny,2,2,1,3,5,4,1
ablakrózsa,2,2,2,3,3,2,0
ablakszárny,2,2,1,1,1,1,0
ablakszem,2,2,1,4,4,4,0
ablaktábla,2,2,2,3,3,2,0
ablaktok,2,2,1,2,2,2,0
ablaktörlô,2,32,1,3,3,5,1
ablaküveg,2,2,1,4,4,45,0
ablakvasalás,2,2,1,3,2,1,1
ablakzat,1,2,1,2,2,1,1
abnormális,2,3,1,0,1,1,8
abnormis,9,3,1,0,1,1,8
abonál,1,1,1,10,0,3,1
abonens,1,2,1,43,4,4,8
abortál,9,1,1,10,0,0,1
abortusz,9,2,1,3,2,1,8
ábra,1,2,2,3,3,2,0
abrak,1,2,1,2,2,21,0
abrakadabra,1,2,2,3,3,2,0
abrakol,1,1,1,10,5,1,1
abrakos,1,3,1,10,0,0,1
ábránd,1,2,1,2,2,2,0
ábrándkép,2,2,1,4,4,4,0
ábrándos,1,3,1,0,1,1,1
ábrándozás,1,2,1,3,2,1,1
ábrándozik,1,1,61,50,0,6,1
ábrándvilág,2,2,1,2,2,1,0
ábrázat,1,2,1,2,2,12,1
ábrázol,1,1,1,10,0,1,1
ábrázoló,1,32,1,3,3,2,1
abroncs,1,2,1,2,2,1,0
abroncsol,1,1,1,10,0,1,1
abroncsos,1,3,1,0,1,0,1
abroncsoz,1,1,18,10,0,1,1
abrosz,1,2,1,3,2,1,0
abszencia,9,2,2,3,3,2,8
abszint,1,2,1,24,24,5,0
abszolút,9,32,1,2,2,2,0
abszolúte,9,6,0,0,0,0,9
